Date	Financials	Consumer Discretionary	Consumer Staples	Health	Industrials	Information Tech	Materials	Real Estate	Tele Services	Utilities	Energy
6/10/2015	-0.004548992	-0.007007022	-0.005685678	-0.02330783	-0.000244994	0.001806723	0.012756515	-0.003889382	-0.001666136	-0.007218763	0.02229396
7/10/2015	0.007916657	0.003429316	0.008617563	0.0146935	0.013301549	0.003868714	0.013373897	0.008908988	-0.00333794	-0.003071054	0.013262905
8/10/2015	0.005140438	0.011715036	0.011578208	0.003811381	0.014248291	0.004491375	0.014147821	0.008394163	0.00900079	0.012050323	0.018924484
9/10/2015	-0.0056542	0.001688961	0.002683853	0.004444557	0.002991751	0.005105836	-0.000540694	-0.002378392	-0.006223594	-0.004073359	-0.007256633
12/10/2015	0.001533434	0.00473426	0.002342063	0.002351572	0.001059161	0.00208078	-0.008800412	0.00563507	0.003896719	0.009034089	-0.010845925
13/10/2015	-0.006506997	-0.005486476	-0.00645999	-0.012360689	-0.010644779	-0.00326498	-0.003929907	-0.007435371	-0.000485252	-0.002583527	-0.008967605
14/10/2015	-0.00956757	-0.010189626	-0.011324132	-0.002503015	-0.010191796	-0.000977047	0.008840555	-0.007219639	-0.002357811	-4.46E-05	0.00947195
15/10/2015	0.023112597	0.012605841	0.009734795	0.021815919	0.010186522	0.011390011	0.002462314	0.01410685	0.012512186	0.014246806	0.016270701
16/10/2015	0.004340647	0.005957479	0.009918001	0.009973465	-0.002379074	0.002858091	0.00025288	0.009920722	0.005080257	0.002201673	0.001768047
19/10/2015	-0.000283909	0.004522043	0.003665639	0.002741615	0.000546962	0.003076768	-0.007728196	0.013400298	-0.00266393	-8.79E-05	-0.019276433
20/10/2015	0.005269844	-0.002274946	-0.00062499	-0.015180144	0.005401035	-0.003505607	0.002292845	-0.001158999	0.008013138	0.003119744	0.00167959
21/10/2015	-0.007722077	-0.003837495	-0.001328949	-0.008605357	0.001261416	-0.007815863	-0.009259215	-0.001318565	-0.006454661	-0.001533098	-0.010360114
22/10/2015	0.017588904	0.013926424	0.019960044	-0.005372721	0.02782544	0.02361816	0.02748763	0.014364939	0.017233156	0.011801362	0.020332044
23/10/2015	0.010196781	0.004165069	-0.000805769	0.019861678	0.003001001	0.030447847	0.007989977	-0.011922781	-0.000268862	-0.017777418	-0.001976871
26/10/2015	-0.003262033	0.007694086	-0.001536075	0.005034188	-0.001390652	-0.003198848	-0.007077391	0.001791529	0.000739699	-0.004193692	-0.025195605
27/10/2015	-0.0060206	-0.005294406	0.00069228	0.017326459	-0.009874652	-0.00545268	-0.004846878	-0.000525935	-0.01007929	-0.002837128	-0.011561991
28/10/2015	0.0241039	0.009460618	-0.004727421	0.009676334	0.00686187	0.015258247	0.015506881	0.001631394	0.009706711	-0.011291938	0.022181581
29/10/2015	-0.003912674	0.002722393	-3.87E-05	0.003860073	-0.000613801	-0.003420523	0.001022741	0.000262718	6.72E-05	-0.006294937	0.00297645
30/10/2015	-0.013519693	0.002278152	-0.01090991	-0.005556877	-0.002181323	-0.007702407	0.00278319	-0.007511335	0.004100569	0.005113144	0.006817577
2/11/2015	0.016174307	0.004390115	0.005310177	0.019988109	0.011906752	0.009913756	0.005375206	0.023445398	0.001539874	0.001440562	0.024397045
3/11/2015	-0.000486023	0.004061095	-0.005398639	-0.003256156	0.000104911	0.006418481	0.004263204	-0.010342331	-0.004144454	0.002832119	0.025313049
4/11/2015	-0.003768395	-0.006483701	-0.004217297	-0.004506722	-0.002474713	0.000924478	-0.006472096	-0.005747759	-0.005772591	0.004213746	-0.010447893
5/11/2015	0.004209771	0.003744636	-5.88E-05	-0.00368882	0.00086194	-0.003185828	-0.005428459	-0.000105131	-0.001012651	-0.00803501	-0.010424057
6/11/2015	0.010510621	-0.000232145	-0.010706345	-0.003437978	0.001029347	0.004095703	0.002359261	-0.032376688	-0.006893318	-0.036360372	-0.004298687
9/11/2015	-0.011784106	-0.013393447	-0.007056207	-0.008081846	-0.008058078	-0.010030359	-0.006780231	-0.012927783	-0.008574308	0.002895279	-0.014546607
10/11/2015	0.004319602	0.008207882	0.002495209	0.006056013	0.000465414	-0.007200406	-0.007852296	0.007979292	-0.003088729	0.006705171	0.002565445
11/11/2015	-0.002089967	-0.004950021	-0.001055333	-0.009162356	0.002833452	-0.000367423	0.001247794	0.002347589	0.003649124	0.008926956	-0.019073682
12/11/2015	-0.015935167	-0.009777236	-0.013753775	-0.017774297	-0.014295953	-0.00913388	-0.020402389	-0.006699406	-0.008918179	-0.011461055	-0.023939465
13/11/2015	-0.008574686	-0.026524871	-0.008387554	-0.00279451	-0.004107156	-0.02009837	0.012321949	-0.01250205	-0.012251708	-0.003617302	-0.00594152
16/11/2015	0.012506672	0.012284984	0.016448255	0.012529577	0.011964102	0.014215838	0.012746356	0.012993483	0.020953087	0.016942049	0.032552989
17/11/2015	-0.002304501	0.002132126	-0.001022678	0.004059225	-0.002037636	-0.000898447	-0.00102818	0.001315603	0.003088729	-0.018490587	-0.011557143
18/11/2015	0.018293817	0.017037314	0.013850125	0.020005901	0.012782566	0.016007562	0.017248167	0.012974189	0.007595461	0.007460975	0.016069269
19/11/2015	0.001330668	0.000676355	0.003147947	-0.016346636	0.003486084	0.004248649	-0.001500166	0.003350683	0.005025504	0.009858781	-0.012803664
20/11/2015	0.00129885	0.012339333	-0.00696692	0.007375075	0.005482997	0.008596997	-0.002690494	0.011472528	-0.00452732	0.004537563	-0.010383868
23/11/2015	-0.003861117	0.003462541	0.007651806	-0.001951524	-0.004266719	-0.005149187	0.00059564	0.000585764	-0.006584314	-0.010037856	0.006634549
24/11/2015	-0.003058504	-0.002088999	0.002149894	0.002222486	-0.002382924	0.000148715	0.007983189	-0.006705666	0.000683231	-0.002857515	0.021881545
25/11/2015	0.000364483	0.004931004	0.002597979	0.0054287	-0.001131389	-0.003796832	-0.006044151	0.003750519	-0.002048502	-0.005639016	-0.008275418
27/11/2015	0.003127463	-0.004058086	0.002512708	0.001735528	0.001573218	0.001383407	-0.001083484	0.007152751	0.004926454	0.002277647	-0.006783692
30/11/2015	-0.002693901	-0.008428101	-0.009751534	-0.013378887	-0.007288286	0.00052826	0.001679358	-0.008108961	0.003472525	0.001808735	0.003868343
1/12/2015	0.012686635	0.010124653	0.008186539	0.017279699	0.006012671	0.011005977	0.007334729	0.015655934	0.004410326	0.007638578	0.00712477
2/12/2015	-0.012377884	-0.009002332	-0.006472528	-0.009122459	-0.010380648	-0.006346898	-0.01303703	-0.020465064	-0.010808661	-0.021914932	-0.031087476
3/12/2015	-0.016053193	-0.015171335	-0.005290678	-0.02209043	-0.011082815	-0.012882704	-0.009169104	-0.014286501	-0.010448671	-0.008595997	-0.020114763
4/12/2015	0.026585231	0.019779352	0.022704274	0.024296649	0.014571298	0.024217755	0.017763364	0.020541624	0.026777122	0.015351111	-0.005226351
7/12/2015	-0.00886253	-0.004600308	0.002930294	-0.005748943	-0.004160773	-0.005691386	-0.01773209	-0.000907625	0.005780351	0.003313073	-0.036671319
8/12/2015	-0.013155092	-0.003216334	-0.003076558	0.00187075	-0.015609725	-0.002225195	-0.01939992	-0.00090845	-0.009489429	-0.002371957	-0.014915887
9/12/2015	-0.01151826	-0.012217644	-0.009432652	-0.00979681	-0.00252082	-0.014751577	0.030670228	-0.007702195	-0.007623835	0.000326374	0.013318489
10/12/2015	0.000528192	0.002442006	0.000450675	0.007775428	0.004816751	0.002059057	-0.007579758	-0.008408784	0.000815898	-0.016498152	0.006165791
11/12/2015	-0.021739806	-0.023237793	-0.010752097	-0.015564509	-0.016401558	-0.020684229	-0.026696326	-0.003587756	-0.015352284	-0.003032741	-0.033605874
14/12/2015	0.001587352	0.004583247	0.009384136	0.00604777	0.002141706	0.00636414	-0.014059416	0.005673722	0.010762315	0.004562986	0.008101269
15/12/2015	0.023772545	0.005787566	0.006786293	0.013151477	0.000588855	0.004197558	0.005305913	0.010632563	0.005665155	0.008847859	0.028473577
16/12/2015	0.016316356	0.016910012	0.019832056	0.013004928	0.017871892	0.013117338	0.010665996	0.019430999	0.02036107	0.025607314	-0.005136611
17/12/2015	-0.015810645	-0.016266325	-0.012760497	-0.011104782	-0.016380442	-0.016096177	-0.019366057	-0.007055583	-0.010176924	0.001051815	-0.02483101
18/12/2015	-0.025102967	-0.014500397	-0.017878892	-0.014045855	-0.015216471	-0.020318419	-0.01305473	-0.014741748	-0.012835184	-0.012607965	-0.016287476
21/12/2015	0.009144034	0.003706844	0.009614447	0.008594174	0.007803172	0.01055996	0.008618497	0.006297084	0.011096017	0.000694005	0.000456079
22/12/2015	0.008809522	0.006722321	0.012254792	0.007123043	0.012107629	0.006757467	0.012074153	0.004706664	0.009291085	0.007628266	0.012195692
23/12/2015	0.012880408	0.005679854	0.008289571	0.010741817	0.012417942	0.008109808	0.023639863	0.012563218	0.01360812	0.015416383	0.0424521
24/12/2015	-0.000831324	-0.002623897	-0.001491366	0.001026922	-0.000792009	-0.001304174	-0.002043953	-0.000473222	-0.004014483	-0.000813306	-0.009095211
28/12/2015	-0.002003063	0.0026308	-0.001282878	-0.004580658	-0.001863783	0.000604823	-0.007582076	0.00478647	0.001453689	0.001899327	-0.017921384
29/12/2015	0.010498669	0.011263424	0.008627631	0.012187502	0.009336314	0.013407896	0.009015935	0.009631976	0.00692797	0.00505527	0.00694855
